ONEW,Tc,NTC,Out,,,,,,,,,-14.197,14651.5
2.31,5.12,957.92,50, ,2.34,5.20285714285714,3.77142857142857,957.689523809524,231,512,1051.90976,8.20909760000002,5.39909760000002
2.31,5.07,957.95,50, ,2.33095238095238,5.19809523809524,3.76452380952381,957.737619047619,231,507,1051.48385,8.2048385,5.44483850000001
2.31,5.14,957.97,50, ,2.32190476190476,5.19523809523809,3.75857142857143,957.785714285714,231,514,1051.19991,8.20199910000001,5.37199910000001
2.31,5.19,957.98,50, ,2.31285714285714,5.19333333333333,3.75309523809524,957.833333333333,231,519,1051.05794,8.20057940000001,5.32057940000001
2.31,5.01,957.99,50, ,2.30380952380952,5.19714285714286,3.75047619047619,957.880952380952,231,501,1050.91597,8.1991597,5.4991597
2.31,5.21,957.99,50, ,2.2947619047619,5.1947619047619,3.7447619047619,957.909523809524,231,521,1050.91597,8.1991597,5.2991597
2.31,5.12,958,50, ,2.28571428571429,5.18380952380952,3.7347619047619,957.926666666667,231,512,1050.774,8.19774000000001,5.38774000000001
2.25,5.27,958,50, ,2.27380952380952,5.16761904761905,3.72071428571429,957.956190476191,225,527,1050.774,8.25774000000001,5.23774000000001
2.25,5.16,958,50, ,2.26190476190476,5.15809523809524,3.71,957.973809523809,225,516,1050.774,8.25774000000001,5.34774000000001
2.25,5.1,958,50, ,2.25571428571429,5.14761904761905,3.70166666666667,957.984285714286,225,510,1050.774,8.25774000000001,5.40774000000001
2.25,4.96,958,50, ,2.25285714285714,5.13666666666667,3.6947619047619,957.990476190476,225,496,1050.774,8.25774000000001,5.54774000000001
2.25,5.08,958,50, ,2.25285714285714,5.13952380952381,3.69619047619048,957.975238095238,225,508,1050.774,8.25774000000001,5.42774000000001
2.25,5.05,958,50, ,2.25285714285714,5.15571428571429,3.70428571428571,957.947142857143,225,505,1050.774,8.25774000000001,5.45774000000001
2.25,5.13,958,50, ,2.25285714285714,5.1652380952381,3.70904761904762,957.911428571429,225,513,1050.774,8.25774000000001,5.37774000000001
2.25,5.28,958,50, ,2.25,5.17571428571429,3.71285714285714,957.870952380953,225,528,1050.774,8.25774000000001,5.22774000000001
2.19,5.27,958,50, ,2.24714285714286,5.19142857142857,3.71928571428571,957.827619047619,219,527,1050.774,8.31774000000001,5.23774000000001
2.19,5.16,958,50, ,2.24142857142857,5.19619047619048,3.71880952380952,957.782857142857,219,516,1050.774,8.31774000000001,5.34774000000001
2.13,5,958,50, ,2.23571428571429,5.20857142857143,3.72214285714286,957.755714285714,213,500,1050.774,8.37774000000001,5.50774000000001
2.13,5.2,958,50, ,2.23285714285714,5.22571428571429,3.72928571428571,957.720476190476,213,520,1050.774,8.37774000000001,5.30774000000001
2.25,5.22,958,50, ,2.23,5.24571428571428,3.73785714285714,957.68,225,522,1050.774,8.25774000000001,5.28774000000001
2.25,5.13,958,50, ,2.23,5.26714285714286,3.74857142857143,957.636666666667,225,513,1050.774,8.25774000000001,5.37774000000001
2.31,5.18,957.6,50, ,2.23,5.28952380952381,3.7597619047619,957.591904761905,231,518,1056.4528,8.25452800000001,5.38452800000001
2.31,5.41,957.36,50, ,2.23,5.28857142857143,3.75928571428571,957.564761904762,231,541,1059.86008,8.2886008,5.1886008
2.31,5.34,957.22,50, ,2.23,5.28285714285714,3.75642857142857,957.548571428571,231,534,1061.84766,8.30847660000001,5.27847660000001
2.25,5.41,957.13,50, ,2.23,5.28904761904762,3.75952380952381,957.539047619047,225,541,1063.12539,8.38125390000001,5.22125390000001
2.25,5.34,957.08,50, ,2.22714285714286,5.29285714285714,3.76,957.533333333334,225,534,1063.83524,8.3883524,5.2983524
2.19,5.31,957.05,50, ,2.22428571428571,5.29476190476191,3.75952380952381,957.53,219,531,1064.26115,8.45261150000002,5.33261150000002
2.19,5.38,957.43,50, ,2.21809523809524,5.31047619047619,3.76428571428571,957.528095238095,219,538,1058.86629,8.39866290000002,5.20866290000002
2.19,5.63,957.26,50, ,2.21476190476191,5.31952380952381,3.76714285714286,957.526666666667,219,563,1061.27978,8.42279780000001,4.98279780000001
2.19,5.58,957.15,50, ,2.21142857142857,5.32523809523809,3.76833333333333,957.525714285714,219,558,1062.84145,8.43841450000002,5.04841450000002
2.25,5.55,957.09,50, ,2.20571428571429,5.32857142857143,3.76714285714286,957.525238095238,225,555,1063.69327,8.3869327,5.0869327
2.25,5.43,957.06,50, ,2.2,5.34,3.77,957.524761904762,225,543,1064.11918,8.39119180000002,5.21119180000002
2.25,5.06,957.43,50, ,2.19142857142857,5.34190476190476,3.76666666666667,957.54380952381,225,506,1058.86629,8.33866290000002,5.52866290000002
2.25,4.93,957.66,50, ,2.18571428571429,5.32857142857143,3.75714285714286,957.574285714286,225,493,1055.60098,8.30600980000001,5.62600980000001
2.25,5.26,957.8,50, ,2.18,5.32095238095238,3.75047619047619,957.611428571429,225,526,1053.6134,8.28613400000002,5.27613400000002
2.19,5.36,957.88,50, ,2.17714285714286,5.31142857142857,3.74428571428571,957.652857142857,219,536,1052.47764,8.33477640000001,5.16477640000001
2.13,5.31,957.93,50, ,2.17428571428571,5.30142857142857,3.73785714285714,957.696666666667,213,531,1051.76779,8.38767790000002,5.20767790000002
2.06,5.49,957.96,50, ,2.17142857142857,5.3047619047619,3.73809523809524,957.741904761905,206,549,1051.34188,8.4534188,5.0234188
2.06,5.19,957.97,50, ,2.16857142857143,5.30714285714286,3.73785714285714,957.769047619048,206,519,1051.19991,8.45199910000001,5.32199910000001
2.06,5.32,957.98,50, ,2.16571428571429,5.29904761904762,3.73238095238095,957.804285714286,206,532,1051.05794,8.45057940000001,5.19057940000001
